,Date,Company,Industry,Revenue,Expenses,Profit,Assets,Liabilities,Equity,MarketCap,Dividends,EarningsPerShare,PriceEarningsRatio,Beta,Volatility,DebtToEquityRatio
0,2020-01-01,C,Technology,304927,42121,49963,7403438,494722,9017187,88554112,6799,7.769425184078248,39.520498615311546,0.6960064104978041,0.19891484407801013,1.1040931022777214
1,2020-01-02,A,Healthcare,897681,150587,-4866,2816719,590683,9815804,20679648,23857,-0.36567931753009475,33.41868124539586,2.4427709336879944,0.13086967624172252,0.9723283040746693
2,2020-01-03,B,Finance,959342,100272,32131,8537891,946988,7466042,31326134,39852,9.402883472560237,48.65771532232614,2.3515417646614685,0.25268532755431655,0.8526533707875136
3,2020-01-04,A,Healthcare,426505,264419,96754,9220659,937615,981236,6410502,33634,5.119876537481504,16.718562872478728,0.7169614096704298,0.49107811352068254,1.2488520180708385
4,2020-01-05,C,Finance,462018,256246,69531,7543033,505234,1912518,59909374,49631,8.312452065785624,27.842919638331757,1.085014305673519,0.11717803230619797,0.759321086664168
5,2020-01-06,C,Finance,164315,75096,30295,5978139,758534,8419183,16508937,1780,4.480859640140109,5.147924158821848,1.0741462198112695,0.12614057926301472,1.9131020742043883
6,2020-01-07,D,Technology,522120,223462,98862,7513326,256590,5875201,81732093,44372,0.38433482287968346,17.2756255024729,1.3640854631051642,0.47612858073854514,1.6369777343035523
7,2020-01-08,A,Technology,621753,429728,64167,5444882,867359,3375609,97976434,29309,1.991091468083555,19.194641017818114,0.5387610646854579,0.46887401424119085,1.147680428102739
8,2020-01-09,B,Healthcare,231358,237484,34537,9770626,786690,6711726,51284178,32831,9.684085137578563,44.88718256056009,1.187111814705379,0.07046619440917434,0.9832987733269045
9,2020-01-10,A,Finance,19255,211858,67566,324821,673719,1695433,24222729,37619,3.9588054466237548,18.12887515341751,2.202222147040005,0.05312639026739155,1.8785760142375727
10,2020-01-11,A,Finance,956824,395483,47197,4579384,93792,7943770,48026498,15057,-7.37874844110896,14.190497688082694,1.233631118464742,0.29596870748820403,0.12184967218064406
11,2020-01-12,C,Finance,23643,53354,97225,5800274,852877,8017283,41550187,17576,-7.334680491684686,20.00602195017856,1.0856845544476836,0.20145431672306063,1.2574989612199468
12,2020-01-13,A,Finance,735192,371370,15206,1462370,59941,2865974,21521554,14711,7.990941597417827,25.81642880749328,1.4294929082887886,0.39399935814249754,1.9795649146461884
13,2020-01-14,A,Technology,387830,416088,94426,6277797,164848,1976690,67937082,27131,0.6731795343234168,39.86151081874032,1.7591044896952475,0.379565237270311,0.38993612657251486
14,2020-01-15,C,Healthcare,185790,39624,21286,5317000,441483,712841,62026309,40730,6.904068847111855,33.355105901836296,1.4225884786841032,0.16720967042766047,0.5306634193410439
15,2020-01-16,C,Technology,43662,253839,96159,3929575,410622,9307767,38483683,18391,-3.8024475527632333,23.225778928086953,2.2050926020707315,0.38939577105699624,0.9250189688450722
16,2020-01-17,A,Technology,446069,8930,11400,3171129,196763,8855690,38876832,43701,9.353191891311138,9.57489595574454,2.4094369879521866,0.17211518402270448,0.9890147901193995
17,2020-01-18,C,Finance,226850,353779,96055,4387425,935247,7261271,3546402,10703,-6.531548644870446,26.6517598543943,1.4273072794585386,0.2882828561999984,1.9425278121318865
18,2020-01-19,D,Technology,297141,475434,82629,6683138,581713,8665535,5007012,10758,9.177370332701084,19.222183293893266,0.701151621668348,0.44375937665270915,0.7425724677789913
19,2020-01-20,A,Healthcare,954367,480810,2903,7184678,158092,2031749,38568751,16597,-3.1238092158710673,31.479970466713322,0.9554019210688844,0.21724662137927941,0.5687636888579367
20,2020-01-21,D,Technology,187265,13533,23278,7764214,185157,133180,45632936,30219,-5.744091164546353,11.9616424263766,1.2130486098356448,0.4935973729928046,0.13654212960528989
21,2020-01-22,C,Technology,631601,102672,91886,8486670,474609,7053749,1535809,6297,0.5479647303717972,11.047167447153944,2.4254258863494926,0.2568534642028691,1.1064762134678379
22,2020-01-23,B,Healthcare,900323,382944,88396,978535,839532,2297044,57092689,8122,-0.6941527850886668,31.64204501264451,1.7236745329001215,0.48629218028563537,0.4904942886114554
23,2020-01-24,A,Technology,231853,173246,13547,5013832,991180,5607972,32742955,7341,-9.958741494189749,13.112319263929894,0.8316559278078111,0.44455516869588435,1.9084963969507167
24,2020-01-25,D,Technology,19377,72853,33936,7962980,676172,595653,79204782,15722,-9.268205274780218,45.79466316883834,0.8623928447585374,0.16597802249721322,0.31405951148738653
25,2020-01-26,B,Healthcare,829572,17132,30610,6597454,461568,9690077,41174967,28924,0.13483322044316282,22.50719916514865,1.5530349805111368,0.4879733337882472,0.8918626277932775
